University_Name,Country_Rank,World_Rank
Maharaja Ganga Singh University,366,8083
Maharaja Krishnakumarsinhji Bhavnagar University,297,7511
Maharaja Ranjit Singh Punjab Technical University,466,8896
Maharaja Surajmal Brij University,610,9825
Maharana Pratap University of Agriculture and Technology,474,8934
Maharashtra Animal and Fishery Sciences University,572,9584
Maharashtra National Law University Mumbai,725,10776
"Maharashtra National Law University, Aurangabad",808,11556
"Maharashtra National Law University, Nagpur",705,10662
Maharashtra University of Health Sciences,249,7003
"Maharishi Arvind University, Jaipur",843,11999
Maharishi Dayanand University,239,6865
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,574,9605
"Maharishi Markandeshwar University, Mullana",245,6931
"Maharishi Markandeshwar University, Sadopur",812,11625
"Maharishi Markandeshwar University, Solan",783,11296
Maharishi University,714,10712
Maharishi University of Management and Technology,647,10158
Maharshi Dayanand Saraswati University,488,9024
Maharshi Panini Sanskrit Vishwavidyalaya,453,8826
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,477,8942
"Mahatma Gandhi Central University, Motihari",437,8674
Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,708,10678
Mahatma Gandhi Kashi Vidyapeeth,259,7107
Mahatma Gandhi University,64,3998
Mahatma Gandhi University of Medical Sciences and Technology,766,11089
"Mahatma Gandhi University, Meghalaya",607,9822
"Mahatma Gandhi University, Nalgonda",636,10098
Mahatma Jyoti Rao Phoole University,676,10376
Mahatma Phule Krishi Vidyapeeth,411,8480
Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya,293,7476
"Malaviya National Institute of Technology, Jaipur",113,4959
Malwanchal University,870,12679
Manav Bharti University,704,10659
Manav Rachna International Institute of Research and Studies,Un,Un
Manav Rachna University,Un,Un
Mandsaur University,743,10899
Mangalayatan University,591,9702
Mangalore University,280,7322
Manipal Academy of Higher Education,17,1706
Manipur Technical University,732,10819
Manipur University,323,7766
Manipur University of Culture,877,13046
Manonmaniam Sundaranar University,303,7565
Martin Luther Christian University,711,10688
Marwadi University,320,7741
MATS University,581,9650
"Maulana Abul Kalam Azad University of Technology, West Bengal",74,4251
Maulana Azad National Institute of Technology,140,5522
Maulana Azad National Urdu University,410,8473
